ResinType,ResinPercentage,ResinSupplier,PigmentType,PigmentPercentage,PigmentSupplier,SolventType,SolventPercentage,SolventSupplier,Gloss,Viscosity,HidingPower,IsSuccess,Dispersant_Percentage,Dispersant_Supplier,Thickener_Percentage,Thickener_Supplier,Defoamer_Percentage,Defoamer_Supplier,TotalSolidsContent,SimulatedPVC,SolventToResinRatio,Resin_Pigment_Combo,Resin_Solvent_Combo,Pigment_Solvent_Combo
Epoxy,46.64,SupplierE_Resin,Titanium Dioxide,25.15,SupplierG_Pigment,Mineral Spirits,25.0,SupplierN_Solvent,34.59,,68.68,0,0.0,None,3.21,SupplierU_Add,0.0,None,75.0,0.3353,,Epoxy_Titanium Dioxide,Epoxy_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,45.91,SupplierB_Resin,Organic Blue,31.29,SupplierK_Pigment,Xylene,20.75,SupplierP_Solvent,27.13,897.06,40.88,0,0.0,None,2.05,SupplierU_Add,0.0,None,79.25,0.3948,0.45,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Acrylic,51.23,SupplierA_Resin,Organic Blue,35.22,SupplierL_Pigment,Xylene,11.88,SupplierP_Solvent,35.05,1151.67,34.48,0,0.0,None,1.67,SupplierU_Add,0.0,None,88.12,0.3997,0.23,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Alkyd,49.91,SupplierC_Resin,Titanium Dioxide,32.39,SupplierG_Pigment,Mineral Spirits,11.84,SupplierO_Solvent,19.62,1294.83,84.35,0,4.57,SupplierS_Add,0.0,None,1.29,SupplierV_Add,88.16,0.3674,0.24,Alkyd_Titanium Dioxide,Alkyd_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,49.34,SupplierD_Resin,Titanium Dioxide,27.32,SupplierH_Pigment,Water,20.55,SupplierM_Solvent,17.33,935.45,,0,0.0,None,2.79,SupplierU_Add,0.0,None,79.45,,0.42,Alkyd_Titanium Dioxide,Alkyd_Water,Titanium Dioxide_Water
Alkyd,46.74,SupplierD_Resin,Iron Oxide Red,29.38,SupplierI_Pigment,Xylene,17.31,SupplierP_Solvent,26.01,654.33,39.83,0,3.08,SupplierR_Add,0.0,None,3.49,SupplierV_Add,82.69,0.3553,0.37,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Acrylic,44.71,SupplierA_Resin,Iron Oxide Red,28.05,SupplierI_Pigment,Xylene,19.99,SupplierQ_Solvent,34.19,1400.0,,0,4.53,SupplierR_Add,2.72,SupplierU_Add,0.0,None,80.01,0.3506,,Acrylic_Iron Oxide Red,Acrylic_Xylene,Iron Oxide Red_Xylene
Acrylic,52.01,SupplierA_Resin,Iron Oxide Red,20.86,SupplierI_Pigment,Mineral Spirits,23.33,SupplierO_Solvent,35.93,1722.18,,0,0.0,None,3.8,SupplierT_Add,,None,76.67,0.2721,0.45,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,51.68,SupplierE_Resin,Titanium Dioxide,24.37,SupplierH_Pigment,Water,,SupplierM_Solvent,44.52,1544.36,,1,2.96,SupplierS_Add,0.99,SupplierT_Add,0.0,None,80.0,,0.39,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,51.67,SupplierE_Resin,Organic Blue,27.64,SupplierK_Pigment,Water,16.57,SupplierM_Solvent,44.41,2202.45,29.82,0,0.0,None,4.12,SupplierT_Add,0.0,None,83.43,0.3313,0.32,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
